SS00000009,210879_s_at
SS00004488,221711_s_at
SS00004503,214288_s_at
SS00004505,226839_at
SS00004521,209361_s_at
SS00004522,209361_s_at
SS00004524,217294_s_at
SS00004526,202624_s_at
SS00004529,219382_at
SS00004536,208713_at
SS00004607,202121_s_at
SS00004616,226050_at
SS00004619,218192_at
SS00004624,213057_at
SS00004627,207196_s_at
SS00004637,1554006_a_at
SS00004640,222557_at
SS00004641,201404_x_at
SS00004661,203367_at
SS00004665,201892_s_at
SS00004673,205491_s_at
SS00004674,205491_s_at
SS00004678,243766_s_at
SS00004679,224821_at
SS00004685,204606_at
SS00004688,204095_s_at
SS00004690,212490_at
SS00004701,225245_x_at
SS00004703,205652_s_at
SS00004705,216696_s_at
SS00004707,54051_at
SS00004714,200079_s_at
SS00004715,201037_at
SS00004716,204639_at
SS00004723,218487_at
SS00004725,200924_s_at
SS00004739,229626_at
SS00004746,219327_s_at
SS00004747,207922_s_at
SS00004761,210101_x_at
SS00004767,218921_at
SS00004770,218934_s_at
SS00004771,207574_s_at
SS00004772,212254_s_at
SS00004773,209885_at
SS00004774,59631_at
SS00004779,210371_s_at
SS00004795,203702_s_at
SS00004804,213894_at
SS00004808,219464_at
SS00004814,208424_s_at
SS00004823,223994_s_at
SS00004825,218763_at
SS00004849,222412_s_at
SS00004852,214733_s_at
SS00004855,206517_at
SS00004891,209967_s_at
SS00004896,201086_x_at
SS00004902,201112_s_at
SS00004904,224462_s_at
SS00004910,239446_x_at
SS00004912,206593_s_at
SS00004938,53202_at
SS00004944,220750_s_at
SS00004951,229276_at
SS00004956,209838_at
SS00004962,208742_s_at
SS00004963,208480_s_at
SS00004964,219172_at
SS00004967,201252_at
SS00004972,225451_at
SS00004975,200830_at
SS00004976,208932_at
SS00004988,222988_s_at
SS00004991,215440_s_at
SS00004999,203342_at
SS00005002,208712_at
SS00005021,228231_at
SS00005023,224794_s_at
SS00005029,1552302_at
SS00005031,223743_s_at
SS00005033,209463_s_at
SS00005040,218861_at
SS00005044,209417_s_at
SS00005045,208270_s_at
SS00005061,226260_x_at
SS00005070,210675_s_at
SS00005077,201661_s_at
SS00005080,206743_s_at
SS00005082,201969_at
SS00005089,210401_at
SS00005090,217807_s_at
SS00005097,209162_s_at
SS00005099,206904_at
SS00005103,214331_at
SS00005105,224510_s_at
SS00005110,213632_at
SS00005118,223011_s_at
SS00005125,205455_at
SS00005126,226378_s_at
SS00005127,208779_x_at
SS00005146,206691_s_at
SS00005155,224903_at
SS00005159,237766_at
SS00005161,226283_at
SS00005162,219718_at
SS00005169,232274_at
SS00005176,203572_s_at
SS00005205,205454_at
SS00005215,231287_s_at
SS00005219,223637_s_at
SS00005221,225260_s_at
SS00005229,225808_at
SS00005230,226088_at
SS00005236,213982_s_at
SS00005263,1554807_a_at
SS00005276,1555522_s_at
SS00005281,204431_at
SS00005283,202858_at
SS00005295,209820_s_at
SS00005297,218349_s_at
SS00005303,236622_at
SS00005306,218172_s_at
SS00005308,219394_at
SS00005313,225670_at
SS00005320,224376_s_at
SS00005325,216579_at
SS00005336,204242_s_at
SS00005341,204294_at
SS00005345,214308_s_at
SS00005348,203978_at
SS00005368,221554_at
SS00005370,223747_x_at
SS00005379,202151_s_at
SS00005384,203785_s_at
SS00005396,218153_at
SS00005401,210352_at
SS00005402,204295_at
SS00005407,227716_at
SS00005414,218802_at
SS00005416,217940_s_at
SS00005427,1569472_s_at
SS00005445,232780_s_at
SS00005447,210249_s_at
SS00005448,1553657_at
SS00005449,202363_at
SS00005455,220938_s_at
SS00005458,1562026_at
SS00005462,218694_at
SS00005472,224578_at
SS00005480,229164_s_at
SS00005481,205429_s_at
SS00005491,215084_s_at
SS00005495,219056_at
SS00005499,224474_x_at
SS00005509,203714_s_at
SS00005514,203979_at
SS00005523,236800_at
SS00005525,212484_at
SS00005535,221798_x_at
SS00005545,225329_at
SS00005551,235085_at
SS00005553,207020_at
SS00005558,213766_x_at
SS00005559,36936_at
SS00005565,1053_at
SS00005566,219406_at
SS00005567,213468_at
SS00005575,242274_x_at
SS00005583,208438_s_at
SS00005587,218869_at
SS00005594,219710_at
SS00005610,203702_s_at
SS00005614,213750_at
SS00005619,212825_at
SS00005628,217901_at
SS00005632,208751_at
SS00005638,218924_s_at
SS00005640,48117_at
SS00005645,218497_s_at
SS00005650,1559785_at
SS00005659,207170_s_at
SS00005666,215380_s_at
SS00005668,226445_s_at
SS00005674,208376_at
SS00005676,218593_at
SS00005686,235163_at
SS00005687,229697_at
SS00005688,1555420_a_at
SS00005690,230473_s_at
SS00005691,200044_at
SS00005699,221674_s_at
SS00005714,203379_at
SS00005721,207639_at
SS00005724,223215_s_at
SS00005726,226581_at
SS00005727,207420_at
SS00005728,200987_x_at
SS00005729,226253_at
SS00005730,202818_s_at
SS00005735,226405_s_at
SS00005743,220335_x_at
SS00005796,54051_at
SS00005799,244519_at
SS00005808,211722_s_at
SS00005812,201721_s_at
SS00005816,209937_at
SS00005818,226585_at
SS00005830,202632_at
SS00005858,218729_at
SS00005873,207341_at
SS00005881,203029_s_at
SS00005900,226090_x_at
SS00005903,227814_at
SS00005904,238047_at
SS00005905,206868_at
SS00005908,203858_s_at
SS00005919,1555731_a_at
SS00005930,203317_at
SS00005933,206868_at
SS00005941,227811_at
SS00005946,213946_s_at
SS00005951,206586_at
SS00005956,202858_at
SS00005963,203413_at
SS00005966,202465_at
SS00005971,224951_at
SS00005995,220623_s_at
SS00005999,206101_at
SS00006015,212033_at
SS00006018,201511_at
SS00006021,232362_at
SS00006025,200050_at
SS00006026,206805_at
SS00006031,226079_at
SS00006037,235713_at
SS00006048,217865_at
SS00006049,219264_s_at
SS00006057,218863_s_at
SS00006060,204308_s_at
SS00006071,208603_s_at
SS00006080,1552417_a_at
SS00006085,205880_at
SS00006090,216696_s_at
SS00006094,225693_s_at
SS00006105,204452_s_at
SS00006107,218086_at
SS00006117,218771_at
SS00006120,219193_at
SS00006141,207789_s_at
SS00006142,228806_at
SS00006147,209547_s_at
SS00006151,213090_s_at
SS00006157,201433_s_at
SS00006165,204986_s_at
SS00006171,210347_s_at
SS00006175,222713_s_at
SS00006178,207047_s_at
SS00006179,207414_s_at
SS00006182,210064_s_at
SS00006188,217888_s_at
SS00006194,221189_s_at
SS00006195,208644_at
SS00006196,235154_at
SS00006222,229213_at
SS00006230,220190_s_at
SS00006233,226011_at
SS00006271,1554172_a_at
SS00006277,202193_at
SS00006278,227188_at
SS00006290,225748_at
SS00006294,1557223_at
SS00006313,223304_at
SS00006316,241382_at
SS00006319,200862_at
SS00006323,211584_s_at
SS00006326,204012_s_at
SS00006329,204634_at
SS00006333,211383_s_at
SS00006337,226859_at
SS00006342,217937_s_at
SS00006351,227094_at
SS00006352,222962_s_at
SS00006365,202650_s_at
SS00006367,213343_s_at
SS00006373,218510_x_at
SS00006385,235583_at
SS00006397,212325_at
SS00006398,227032_at
SS00006399,209024_s_at
SS00006404,215220_s_at
SS00006413,213457_at
SS00006420,217729_s_at
SS00006441,205273_s_at
SS00006446,218815_s_at
SS00006447,224622_at
SS00006452,1558014_s_at
SS00006453,1554872_a_at
SS00006459,218347_at
SS00006462,210335_at
SS00006466,207396_s_at
SS00006470,222962_s_at
SS00006472,214528_s_at
SS00006477,209872_s_at
SS00006492,213661_at
SS00006495,1555411_a_at
SS00006497,224659_at
SS00006499,204181_s_at
SS00006502,204153_s_at
SS00006512,219816_s_at
SS00006519,205232_s_at
SS00006520,205149_s_at
SS00006526,222258_s_at
SS00006527,225734_at
SS00006540,211783_s_at
SS00006542,225389_at
SS00006544,210235_s_at
SS00006546,202639_s_at
SS00006557,219699_at
SS00006561,238862_at
SS00006569,209284_s_at
SS00006570,206904_at
SS00006571,1557279_at
SS00006587,207667_s_at
SS00006590,218845_at
SS00006600,230947_at
SS00006617,221529_s_at
SS00006620,223843_at
SS00006629,234672_s_at
SS00006636,224614_at
SS00006640,205465_x_at
SS00006645,221538_s_at
SS00006647,210129_s_at
SS00006649,231220_at
SS00006663,206517_at
SS00006665,45714_at
SS00006673,216237_s_at
SS00006674,204175_at
SS00006692,202495_at
SS00006704,228420_at
SS00006705,203588_s_at
SS00006709,222472_at
SS00006714,218636_s_at
SS00006721,201506_at
SS00006722,1554312_at
SS00006729,209596_at
SS00006734,205918_at
SS00006736,218729_at
SS00006746,204133_at
SS00006752,209302_at
SS00006759,205232_s_at
SS00006769,223759_s_at
SS00006770,202711_at
SS00006773,1552664_at
SS00006783,203054_s_at
SS00006793,201340_s_at
SS00006808,225815_at
SS00006809,223529_at
SS00006810,212519_at
SS00006812,210830_s_at
SS00006821,212484_at
SS00006826,209390_at
SS00006835,203363_s_at
SS00006838,208724_s_at
SS00006841,214881_s_at
SS00006854,203286_at
SS00006859,222422_s_at
SS00006860,217761_at
SS00006862,220078_at
SS00006865,242195_x_at
SS00006885,200833_s_at
SS00006887,201655_s_at
SS00006889,214040_s_at
SS00006893,223196_s_at
SS00006895,221712_s_at
SS00006897,201246_s_at
SS00006900,204239_s_at
SS00006905,203103_s_at
SS00006910,200745_s_at
SS00006918,239637_at
SS00006926,225805_at
SS00006927,225805_at
SS00006930,207842_s_at
SS00006931,208996_s_at
SS00006932,201007_at
SS00006955,218942_at
SS00006959,218419_s_at
SS00006961,224657_at
SS00006962,221223_x_at
SS00006968,224759_s_at
SS00006978,217841_s_at
SS00006979,1552789_at
SS00006985,209691_s_at
SS00006987,203051_at
SS00006992,225212_at
SS00006994,221496_s_at
SS00007002,223232_s_at
SS00007003,202523_s_at
SS00007005,204447_at
SS00007013,213329_at
SS00007019,212567_s_at
SS00007031,201739_at
SS00007032,208290_s_at
SS00007035,200987_x_at
SS00007038,224810_s_at
SS00007041,44146_at
SS00007054,222200_s_at
SS00007061,215481_s_at
SS00007069,218586_at
SS00007073,201511_at
SS00007074,235239_at
SS00007076,208328_s_at
SS00007079,225998_at
SS00007084,AFFX-HUMISGF3A/M97935_MA_at
SS00007091,217025_s_at
SS00007099,224739_at
SS00007102,227491_at
SS00007104,1555678_at
SS00007112,218359_at
SS00007113,202160_at
SS00007116,203142_s_at
SS00007120,201681_s_at
SS00007122,213141_at
SS00007129,202793_at
SS00007137,204484_at
SS00007139,212510_at
SS00007141,212198_s_at
SS00007142,221900_at
SS00007144,216061_x_at
SS00007147,1554660_a_at
SS00007150,202500_at
SS00007152,233974_s_at
SS00007164,203123_s_at
SS00007178,1555945_s_at
SS00007183,207754_at
SS00007190,209300_s_at
SS00007194,225511_at
SS00007201,244301_at
SS00007204,53987_at
SS00007208,212228_s_at
SS00007211,203429_s_at
SS00007215,203643_at
SS00007216,205935_at
SS00007225,208374_s_at
SS00007241,225015_s_at
SS00007245,244739_at
SS00007246,212624_s_at
SS00007251,200989_at
SS00007253,226410_at
SS00007256,222467_s_at
SS00007258,222978_at
SS00007269,203841_x_at
SS00007277,203315_at
SS00007286,225772_s_at
SS00007289,221541_at
SS00007290,213548_s_at
SS00007292,225320_at
SS00007296,225040_s_at
SS00007297,222424_s_at
SS00007302,209566_at
SS00007309,223450_s_at
SS00007311,215495_s_at
SS00007325,201929_s_at
SS00007328,217866_at
SS00007329,1554393_a_at
SS00007331,226080_at
SS00007336,218382_s_at
SS00007345,209829_at
SS00007349,210432_s_at
SS00007351,201864_at
SS00007355,202631_s_at
SS00007360,221496_s_at
SS00007370,218192_at
SS00007374,233387_s_at
SS00007378,213327_s_at
SS00007385,219079_at
SS00007388,209324_s_at
SS00007390,201779_s_at
SS00007399,212601_at
SS00007402,218023_s_at
SS00007406,228039_at
SS00007407,232864_s_at
SS00007411,226945_at
SS00007413,213327_s_at
SS00007422,202102_s_at
SS00007429,213394_at
SS00007432,219023_at
SS00007433,219179_at
SS00007434,211722_s_at
SS00007437,223847_s_at
SS00007439,1553218_a_at
SS00007445,202521_at
SS00007461,225042_s_at
SS00007463,228201_at
SS00007467,232127_at
SS00007476,210790_s_at
SS00007478,211974_x_at
SS00007480,212666_at
SS00007482,224656_s_at
SS00007490,224957_at
SS00007497,209869_at
SS00007504,224951_at
SS00007513,214944_at
SS00007520,221841_s_at
SS00007546,213005_s_at
SS00007547,212169_at
SS00007559,214268_s_at
SS00007562,225660_at
SS00007568,235523_at
SS00007570,228087_at
SS00007576,230822_at
SS00007582,204153_s_at
SS00007584,213327_s_at
SS00007585,236448_at
SS00007586,202946_s_at
SS00007589,207757_at
SS00007591,225298_at
SS00007592,212184_s_at
SS00007595,229265_at
SS00007602,217149_x_at
SS00007609,210139_s_at
SS00007612,214705_at
SS00007623,209765_at
SS00007624,206590_x_at
SS00007637,209710_at
SS00007643,228335_at
SS00007644,224732_at
SS00007647,234303_s_at
SS00007650,227870_at
SS00007653,220993_s_at
SS00007664,212466_at
SS00007668,201086_x_at
SS00007670,209413_at
SS00007674,216925_s_at
SS00007675,221237_s_at
SS00007676,212233_at
SS00007682,201519_at
SS00007683,204622_x_at
SS00007688,222586_s_at
SS00007692,200923_at
SS00007694,228315_at
SS00007716,228737_at
SS00007717,203296_s_at
SS00007720,200927_s_at
SS00007727,217310_s_at
SS00007728,202268_s_at
SS00007735,215273_s_at
SS00007739,203086_at
SS00007742,202797_at
SS00007745,219210_s_at
SS00007748,216933_x_at
SS00007749,219259_at
SS00007758,225354_s_at
SS00007763,231570_at
SS00007775,219035_s_at
SS00007777,201864_at
SS00007779,206788_s_at
SS00007780,230303_at
SS00007789,225110_at
SS00007791,204866_at
SS00007792,222458_s_at
SS00007794,243039_at
SS00007797,223180_s_at
SS00007800,206531_at
SS00007801,208100_x_at
SS00007804,218920_at
SS00007807,233617_at
SS00007808,1555801_s_at
SS00007810,204371_s_at
SS00007811,235108_at
SS00007819,223155_at
SS00007834,200012_x_at
SS00007837,228414_at
SS00007844,231039_at
SS00007851,206113_s_at
SS00007854,212602_at
SS00007856,202829_s_at
SS00007858,212892_at
SS00007859,217796_s_at
SS00007860,226749_at
SS00007862,217077_s_at
SS00007869,1558015_s_at
SS00007871,232558_at
SS00007875,201877_s_at
SS00007881,212334_at
SS00007883,219870_at
SS00007884,212793_at
SS00007885,225217_s_at
SS00007897,203343_at
