A_72_P000091,A_24_P192914
A_72_P010546,A_23_P363255
A_72_P010641,A_33_P3372124
A_72_P010721,A_33_P3280845
A_72_P010751,A_23_P153086
A_72_P010916,A_23_P126716
A_72_P010916,A_33_P3228385
A_72_P011066,A_24_P14010
A_72_P011116,A_23_P32913
A_72_P011116,A_33_P3213432
A_72_P011116,A_32_P90080
A_72_P011136,A_24_P381029
A_72_P011136,A_19_P00805607
A_72_P011186,A_33_P3413020
A_72_P011196,A_23_P146077
A_72_P011466,A_33_P3413993
A_72_P011466,A_33_P3413989
A_72_P011466,A_23_P139123
A_72_P011466,A_33_P3413987
A_72_P011496,A_23_P44974
A_72_P012251,A_33_P3396459
A_72_P012251,A_23_P29803
A_72_P012616,A_23_P103328
A_72_P012616,A_33_P3265749
A_72_P012616,A_33_P3265744
A_72_P012716,A_23_P218096
A_72_P013076,A_24_P21507
A_72_P013081,A_33_P3225696
A_72_P013776,A_23_P61637
A_72_P014021,A_23_P82128
A_72_P014071,A_33_P3844650
A_72_P014556,A_24_P346886
A_72_P014556,A_33_P3384721
A_72_P014681,A_23_P151506
A_72_P014706,A_33_P3302115
A_72_P014706,A_24_P902728
A_72_P014776,A_23_P34877
A_72_P014906,A_23_P204847
A_72_P014936,A_23_P19369
A_72_P014936,A_33_P3251582
A_72_P014941,A_23_P162596
A_72_P015096,A_33_P3240767
A_72_P015096,A_23_P92025
A_72_P015146,A_23_P385206
A_72_P015311,A_33_P3369336
A_72_P015311,A_33_P3298460
A_72_P015451,A_24_P280803
A_72_P015451,A_33_P3239569
A_72_P015686,A_33_P3415430
A_72_P015686,A_23_P111132
A_72_P015916,A_23_P37598
A_72_P016016,A_23_P48121
A_72_P016216,A_23_P109895
A_72_P016236,A_24_P763243
A_72_P016236,A_32_P47701
A_72_P016491,A_32_P154021
A_72_P016646,A_33_P3446495
A_72_P016651,A_23_P162322
A_72_P016661,A_23_P393425
A_72_P017441,A_23_P135995
A_72_P017661,A_23_P59397
A_72_P017711,A_23_P156826
A_72_P017796,A_24_P64344
A_72_P017796,A_33_P3363637
A_72_P018001,A_33_P3346543
A_72_P018001,A_33_P3237150
A_72_P018081,A_24_P88554
A_72_P019756,A_23_P137057
A_72_P019881,A_23_P37327
A_72_P020021,A_23_P257503
A_72_P020101,A_24_P944427
A_72_P020101,A_33_P3376434
A_72_P020101,A_23_P92035
A_72_P020546,A_23_P358995
A_72_P020621,A_23_P305938
A_72_P020706,A_33_P3312039
A_72_P020706,A_24_P398092
A_72_P020706,A_19_P00811441
A_72_P020741,A_33_P3371910
A_72_P020741,A_33_P3303086
A_72_P020741,A_24_P225635
A_72_P020741,A_24_P916378
A_72_P021111,A_23_P32233
A_72_P021216,A_24_P62659
A_72_P021321,A_33_P3409062
A_72_P021731,A_19_P00805047
A_72_P021731,A_33_P3233981
A_72_P021741,A_33_P3332145
A_72_P021741,A_33_P3240258
A_72_P021786,A_33_P3314579
A_72_P022016,A_24_P45446
A_72_P022016,A_24_P280664
A_72_P022251,A_23_P156880
A_72_P022251,A_32_P192376
A_72_P022631,A_23_P13073
A_72_P022671,A_33_P3456341
A_72_P022736,A_33_P3418833
A_72_P022746,A_23_P67648
A_72_P022756,A_33_P3336282
A_72_P022756,A_33_P3358626
A_72_P022906,A_24_P345451
A_72_P022906,A_23_P209564
A_72_P023016,A_23_P209740
A_72_P023196,A_23_P10870
A_72_P023521,A_33_P3376478
A_72_P023701,A_24_P23411
A_72_P023816,A_24_P63468
A_72_P023946,A_19_P00321509
A_72_P023946,A_33_P3230350
A_72_P023946,A_19_P00317978
A_72_P023946,A_23_P118690
A_72_P024076,A_33_P3414482
A_72_P024116,A_23_P92082
A_72_P024306,A_23_P320739
A_72_P024571,A_23_P1280
A_72_P024596,A_23_P382811
A_72_P024681,A_23_P14284
A_72_P024741,A_23_P202206
A_72_P024901,A_23_P51039
A_72_P025031,A_23_P133375
A_72_P025031,A_33_P3347392
A_72_P025111,A_23_P42306
A_72_P025111,A_24_P50245
A_72_P025221,A_24_P64344
A_72_P025221,A_33_P3363637
A_72_P025311,A_23_P254498
A_72_P025761,A_24_P763243
A_72_P025761,A_32_P47701
A_72_P026291,A_23_P503127
A_72_P026581,A_23_P390704
A_72_P026796,A_23_P36865
A_72_P026946,A_23_P215819
A_72_P026946,A_23_P345081
A_72_P026951,A_23_P252388
A_72_P027356,A_23_P214638
A_72_P027831,A_32_P65616
A_72_P027886,A_33_P3389917
A_72_P027886,A_23_P200936
A_72_P027886,A_24_P67806
A_72_P027951,A_24_P382017
A_72_P028156,A_24_P178503
A_72_P028176,A_24_P134392
A_72_P028276,A_24_P302802
A_72_P028501,A_23_P35883
A_72_P029186,A_33_P3257187
A_72_P029186,A_33_P3312212
A_72_P029436,A_23_P200560
A_72_P029436,A_23_P300056
A_72_P029441,A_33_P3212615
A_72_P029441,A_33_P3258274
A_72_P029441,A_23_P330070
A_72_P029446,A_33_P3304528
A_72_P029446,A_23_P204536
A_72_P029776,A_23_P387057
A_72_P029776,A_23_P81912
A_72_P029891,A_24_P181055
A_72_P029891,A_33_P3309289
A_72_P029951,A_23_P111947
A_72_P030056,A_23_P424561
A_72_P030216,A_23_P422240
A_72_P030446,A_23_P27346
A_72_P030446,A_19_P00804817
A_72_P030446,A_19_P00812250
A_72_P030446,A_19_P00323665
A_72_P030481,A_32_P113436
A_72_P030481,A_32_P8015
A_72_P030481,A_32_P216426
A_72_P030481,A_32_P19431
A_72_P030481,A_33_P3384260
A_72_P030481,A_32_P42197
A_72_P030541,A_23_P380181
A_72_P030541,A_33_P3298425
A_72_P030601,A_23_P88404
A_72_P030671,A_33_P3339536
A_72_P030671,A_23_P91657
A_72_P030671,A_24_P384569
A_72_P030756,A_33_P3319491
A_72_P030866,A_23_P29630
A_72_P030931,A_23_P217564
A_72_P031626,A_24_P324674
A_72_P031791,A_33_P3270599
A_72_P031791,A_23_P216501
A_72_P031826,A_23_P114232
A_72_P031831,A_32_P184279
A_72_P031831,A_33_P3396159
A_72_P032171,A_23_P130343
A_72_P032171,A_23_P130352
A_72_P032276,A_33_P3254956
A_72_P032536,A_23_P165624
A_72_P032601,A_23_P361940
A_72_P032601,A_24_P362193
A_72_P032666,A_24_P940921
A_72_P032686,A_23_P43107
A_72_P032701,A_24_P227415
A_72_P032716,A_33_P3215803
A_72_P032781,A_23_P204304
A_72_P032901,A_33_P3248519
A_72_P032901,A_33_P3716128
A_72_P033011,A_23_P146146
A_72_P033021,A_23_P7313
A_72_P033031,A_33_P3237775
A_72_P033066,A_23_P106174
A_72_P033066,A_23_P205686
A_72_P033081,A_24_P763243
A_72_P033081,A_32_P47701
A_72_P033496,A_23_P204304
A_72_P033581,A_33_P3380867
A_72_P033661,A_23_P404134
A_72_P033796,A_23_P342585
A_72_P033796,A_33_P3218832
A_72_P033936,A_23_P41025
A_72_P034186,A_24_P132518
A_72_P034186,A_33_P3241756
A_72_P034201,A_23_P109488
A_72_P034246,A_32_P208178
A_72_P034246,A_23_P144497
A_72_P034246,A_32_P58074
A_72_P034341,A_23_P55936
A_72_P034401,A_24_P343255
A_72_P034891,A_32_P186731
A_72_P035056,A_33_P3888485
A_72_P035091,A_33_P3228762
A_72_P035091,A_23_P408455
A_72_P035096,A_23_P143987
A_72_P035096,A_24_P944827
A_72_P035136,A_23_P408108
A_72_P035311,A_23_P11103
A_72_P035316,A_24_P414803
A_72_P035321,A_33_P3367692
A_72_P035321,A_33_P3318288
A_72_P035321,A_23_P114740
A_72_P035331,A_23_P203406
A_72_P035338,A_23_P155755
A_72_P035338,A_33_P3284266
A_72_P035338,A_24_P277367
A_72_P035346,A_23_P89431
A_72_P035351,A_23_P5983
A_72_P035356,A_33_P3316273
A_72_P035356,A_24_P228130
A_72_P035356,A_23_P55270
A_72_P035356,A_33_P3296181
A_72_P035361,A_33_P3274696
A_72_P035361,A_23_P15692
A_72_P035366,A_23_P252388
A_72_P035371,A_23_P201445
A_72_P035371,A_33_P3876985
A_72_P035376,A_23_P39171
A_72_P035386,A_23_P164536
A_72_P035396,A_24_P131589
A_72_P035401,A_23_P45811
A_72_P035406,A_23_P54100
A_72_P035406,A_33_P3347911
A_72_P035411,A_23_P212617
A_72_P035421,A_23_P117363
A_72_P035426,A_23_P157865
A_72_P035431,A_23_P121596
A_72_P035437,A_33_P3393350
A_72_P035441,A_33_P3373358
A_72_P035446,A_33_P3364864
A_72_P035446,A_33_P3375934
A_72_P035451,A_23_P304356
A_72_P035456,A_24_P278747
A_72_P035461,A_24_P394420
A_72_P035466,A_23_P106056
A_72_P035471,A_23_P67529
A_72_P035476,A_23_P101774
A_72_P035486,A_32_P163125
A_72_P035496,A_23_P63209
A_72_P035511,A_24_P411899
A_72_P035526,A_23_P144816
A_72_P035531,A_23_P304450
A_72_P035536,A_33_P3287223
A_72_P035541,A_23_P64173
A_72_P035551,A_23_P111000
A_72_P035556,A_33_P3659678
A_72_P035556,A_33_P3260322
A_72_P035556,A_33_P3260317
A_72_P035561,A_33_P3268919
A_72_P035561,A_33_P3344574
A_72_P035561,A_24_P223874
A_72_P035596,A_23_P97112
A_72_P035596,A_33_P3421053
A_72_P035601,A_33_P3387943
A_72_P035606,A_33_P3340615
A_72_P035611,A_33_P3348752
A_72_P035611,A_23_P88119
A_72_P035621,A_23_P210886
A_72_P035636,A_23_P125233
A_72_P035641,A_23_P57199
A_72_P035641,A_33_P3408953
A_72_P035641,A_32_P319200
A_72_P035641,A_23_P154986
A_72_P035641,A_24_P375322
A_72_P035646,A_23_P152262
A_72_P035651,A_24_P343255
A_72_P035661,A_33_P3293456
A_72_P035661,A_23_P384761
A_72_P035661,A_33_P3406962
A_72_P035661,A_33_P3360363
A_72_P035676,A_33_P3331451
A_72_P035681,A_33_P3272330
A_72_P035681,A_23_P154500
A_72_P035681,A_23_P420373
A_72_P035691,A_23_P113111
A_72_P035696,A_23_P63825
A_72_P035701,A_23_P212749
A_72_P035711,A_23_P148737
A_72_P035716,A_33_P3228271
A_72_P035716,A_33_P3228266
A_72_P035716,A_24_P237175
A_72_P035716,A_23_P112859
A_72_P035721,A_23_P60742
A_72_P035726,A_33_P3382849
A_72_P035726,A_32_P191262
A_72_P035731,A_33_P3217559
A_72_P035731,A_24_P236251
A_72_P035736,A_23_P145669
A_72_P035741,A_32_P94160
A_72_P035746,A_23_P417173
A_72_P035751,A_33_P3421695
A_72_P035751,A_23_P29495
A_72_P035756,A_24_P140608
A_72_P035761,A_24_P336759
A_72_P035766,A_33_P3367860
A_72_P035781,A_24_P106624
A_72_P035786,A_24_P137897
A_72_P035791,A_23_P254507
A_72_P035791,A_33_P3350673
A_72_P035796,A_23_P1320
A_72_P035801,A_23_P210210
A_72_P035806,A_23_P218331
A_72_P035811,A_33_P3296479
A_72_P035811,A_33_P3508822
A_72_P035816,A_23_P142849
A_72_P035826,A_23_P254741
A_72_P035831,A_33_P3364240
A_72_P035831,A_23_P257129
A_72_P035836,A_23_P87560
A_72_P035846,A_24_P274270
A_72_P035856,A_23_P29953
A_72_P035881,A_32_P85999
A_72_P035886,A_33_P3298539
A_72_P035886,A_23_P203191
A_72_P035891,A_33_P3216297
A_72_P035891,A_33_P3767927
A_72_P035896,A_23_P156824
A_72_P035901,A_23_P385105
A_72_P035901,A_33_P3335825
A_72_P035906,A_23_P101707
A_72_P035911,A_33_P3489737
A_72_P035916,A_33_P3348714
A_72_P035916,A_33_P3348719
A_72_P035931,A_23_P69699
A_72_P035936,A_23_P162037
A_72_P035936,A_33_P3385567
A_72_P035941,A_24_P382489
A_72_P035941,A_33_P3292621
A_72_P035946,A_33_P3844650
A_72_P035951,A_23_P79545
A_72_P035956,A_23_P122041
A_72_P035961,A_24_P302802
A_72_P035971,A_23_P14774
A_72_P035986,A_23_P50897
A_72_P035986,A_33_P3402763
A_72_P036001,A_33_P3243028
A_72_P036001,A_23_P373541
A_72_P036006,A_24_P376047
A_72_P036011,A_23_P207367
A_72_P036011,A_33_P3380867
A_72_P036016,A_23_P62270
A_72_P036016,A_33_P3216357
A_72_P036021,A_23_P205177
A_72_P036031,A_32_P162187
A_72_P036031,A_33_P3404601
A_72_P036036,A_23_P103328
A_72_P036036,A_33_P3265749
A_72_P036036,A_33_P3265744
A_72_P036041,A_23_P251031
A_72_P036046,A_24_P171182
A_72_P036051,A_23_P67648
A_72_P036056,A_24_P199484
A_72_P036056,A_23_P126706
A_72_P036061,A_23_P168080
A_72_P036071,A_23_P62932
A_72_P036106,A_23_P252825
A_72_P036111,A_23_P103149
A_72_P036126,A_23_P130418
A_72_P036431,A_33_P3272773
A_72_P036431,A_23_P210608
A_72_P036591,A_33_P3221788
A_72_P036901,A_23_P356526
A_72_P036986,A_24_P927189
A_72_P037056,A_33_P3585268
A_72_P037326,A_24_P73075
A_72_P037326,A_23_P24535
A_72_P037486,A_33_P3332130
A_72_P037531,A_23_P160546
A_72_P037616,A_23_P145984
A_72_P037736,A_23_P154315
A_72_P037791,A_33_P3323048
A_72_P037791,A_23_P213085
A_72_P037791,A_23_P300090
A_72_P037791,A_33_P3357516
A_72_P037796,A_23_P25253
A_72_P038206,A_33_P3289192
A_72_P038206,A_24_P29594
A_72_P038206,A_23_P429092
A_72_P038206,A_33_P3246293
A_72_P038221,A_33_P3330149
A_72_P038221,A_33_P3306267
A_72_P038221,A_33_P3234303
A_72_P038221,A_33_P3665346
A_72_P039021,A_23_P24997
A_72_P039061,A_23_P19510
A_72_P039061,A_23_P8108
A_72_P039066,A_23_P6891
A_72_P039081,A_23_P119562
A_72_P039086,A_23_P2645
A_72_P039136,A_23_P89199
A_72_P039161,A_33_P3218951
A_72_P039161,A_23_P107073
A_72_P039166,A_23_P117852
A_72_P039226,A_24_P245108
A_72_P039291,A_33_P3258723
A_72_P039301,A_23_P210482
A_72_P039331,A_23_P374782
A_72_P039331,A_24_P289139
A_72_P039331,A_33_P3387145
A_72_P039336,A_23_P3602
A_72_P039356,A_23_P316487
A_72_P039356,A_23_P145904
A_72_P039781,A_23_P88680
A_72_P039911,A_24_P192627
A_72_P039911,A_23_P216693
A_72_P040181,A_23_P157580
A_72_P040331,A_23_P146765
A_72_P040381,A_32_P129862
A_72_P040381,A_23_P65629
A_72_P040616,A_33_P3271430
A_72_P040711,A_33_P3367332
A_72_P041011,A_23_P76435
A_72_P041136,A_33_P3578325
A_72_P041196,A_23_P383819
A_72_P041196,A_23_P13772
A_72_P041371,A_33_P3418426
A_72_P041371,A_24_P217234
A_72_P041381,A_23_P145777
A_72_P041441,A_23_P62605
A_72_P041606,A_23_P126593
A_72_P041606,A_23_P145863
A_72_P041901,A_33_P3220833
A_72_P042071,A_33_P3342410
A_72_P042196,A_23_P353888
A_72_P042196,A_32_P181077
A_72_P042321,A_24_P349821
A_72_P042336,A_23_P376591
A_72_P042371,A_23_P43415
A_72_P042371,A_33_P3418662
A_72_P042396,A_23_P48229
A_72_P042396,A_24_P498652
A_72_P042561,A_24_P319354
A_72_P042561,A_33_P3318459
A_72_P042561,A_33_P3318465
A_72_P042591,A_24_P109111
A_72_P042591,A_33_P3418414
A_72_P042616,A_23_P31844
A_72_P042691,A_23_P212706
A_72_P042821,A_23_P386411
A_72_P042861,A_23_P391506
A_72_P042861,A_33_P3280875
A_72_P042911,A_23_P74778
A_72_P042971,A_23_P98022
A_72_P042996,A_33_P3402171
A_72_P043031,A_23_P251927
A_72_P043036,A_23_P146058
A_72_P043036,A_33_P3380897
A_72_P043051,A_23_P305877
A_72_P043131,A_23_P70047
A_72_P043161,A_23_P69826
A_72_P043161,A_19_P00806302
A_72_P043231,A_23_P158570
A_72_P043231,A_33_P3248992
A_72_P043316,A_23_P40025
A_72_P043381,A_33_P3334443
A_72_P043381,A_33_P3329023
A_72_P043786,A_23_P129169
A_72_P043991,A_23_P29994
A_72_P044031,A_23_P73511
A_72_P044041,A_23_P162037
A_72_P044041,A_33_P3385567
A_72_P044226,A_24_P380132
A_72_P044616,A_33_P3409392
A_72_P045551,A_23_P127565
A_72_P046056,A_23_P372923
A_72_P046056,A_23_P301304
A_72_P046056,A_23_P316447
A_72_P046096,A_23_P207400
A_72_P046131,A_23_P143987
A_72_P046131,A_24_P944827
A_72_P046136,A_33_P3357082
A_72_P046136,A_23_P56553
A_72_P046166,A_33_P3323384
A_72_P046166,A_23_P20225
A_72_P046271,A_33_P3268310
A_72_P046271,A_23_P210358
A_72_P046271,A_33_P3227896
A_72_P046426,A_23_P50331
A_72_P046521,A_23_P142708
A_72_P046541,A_23_P152136
A_72_P046591,A_32_P219520
A_72_P046591,A_33_P3404052
A_72_P046936,A_23_P71537
A_72_P047256,A_23_P320717
A_72_P047256,A_33_P3257628
A_72_P047556,A_33_P3242833
A_72_P047556,A_33_P3242829
A_72_P047556,A_24_P387869
A_72_P047911,A_33_P3346132
A_72_P047911,A_24_P941708
A_72_P047926,A_23_P120243
A_72_P048416,A_33_P3211633
A_72_P048416,A_24_P122524
A_72_P048421,A_33_P3314857
A_72_P048421,A_33_P3316173
A_72_P048421,A_23_P312752
A_72_P048476,A_23_P44569
A_72_P048706,A_24_P721898
A_72_P048706,A_24_P210513
A_72_P048706,A_33_P3416448
A_72_P048706,A_23_P88184
A_72_P048771,A_24_P943301
A_72_P048971,A_24_P393864
A_72_P048971,A_33_P3376234
A_72_P049206,A_24_P245358
A_72_P049341,A_23_P78438
A_72_P049486,A_23_P150857
A_72_P049521,A_23_P208847
A_72_P049641,A_19_P00805047
A_72_P049641,A_33_P3233981
A_72_P049786,A_33_P3369520
A_72_P049991,A_23_P99853
A_72_P050041,A_23_P255916
A_72_P050116,A_23_P205098
A_72_P050346,A_23_P99226
A_72_P050661,A_33_P3348752
A_72_P050661,A_23_P88119
A_72_P050676,A_23_P65174
A_72_P050781,A_24_P227450
A_72_P050931,A_23_P216307
A_72_P050971,A_33_P3284508
A_72_P051026,A_32_P42574
A_72_P051051,A_23_P423482
A_72_P051516,A_23_P91702
A_72_P051611,A_23_P201567
A_72_P051611,A_33_P3329834
A_72_P051621,A_24_P210569
A_72_P051726,A_23_P62807
A_72_P051821,A_24_P255218
A_72_P051907,A_33_P3419334
A_72_P051907,A_33_P3419339
A_72_P052086,A_23_P50096
A_72_P052126,A_23_P166929
A_72_P052236,A_24_P320880
A_72_P052411,A_23_P120103
A_72_P052416,A_23_P109488
A_72_P052661,A_23_P341325
A_72_P052726,A_23_P346006
A_72_P053021,A_23_P6223
A_72_P053061,A_33_P3232965
A_72_P053061,A_33_P3232960
A_72_P053116,A_23_P82941
A_72_P053186,A_23_P142075
A_72_P054381,A_23_P253484
A_72_P054631,A_24_P12626
A_72_P055006,A_33_P3264926
A_72_P055006,A_24_P383523
A_72_P055006,A_33_P3344292
A_72_P055006,A_33_P3343503
A_72_P055141,A_23_P17914
A_72_P055361,A_33_P3225600
A_72_P055361,A_24_P400172
A_72_P055361,A_19_P00315584
A_72_P055541,A_33_P3254956
A_72_P055556,A_24_P926631
A_72_P055556,A_33_P3309456
A_72_P055556,A_23_P145159
A_72_P055776,A_33_P3305105
A_72_P055776,A_24_P135769
A_72_P055841,A_23_P7873
A_72_P056216,A_33_P3443165
A_72_P056271,A_23_P89799
A_72_P056426,A_24_P398898
A_72_P056451,A_33_P3394075
A_72_P056496,A_23_P20002
A_72_P056571,A_23_P147711
A_72_P056681,A_33_P3357082
A_72_P056681,A_23_P56553
A_72_P056731,A_24_P307014
A_72_P056751,A_23_P139635
A_72_P056786,A_33_P3226832
A_72_P056846,A_23_P161446
A_72_P056866,A_23_P111311
A_72_P056866,A_23_P214897
A_72_P056866,A_32_P152437
A_72_P057121,A_23_P114947
A_72_P057336,A_23_P94296
A_72_P057356,A_23_P110531
A_72_P057451,A_33_P3227990
A_72_P057451,A_23_P208085
A_72_P057451,A_24_P402080
A_72_P057471,A_23_P206140
A_72_P057521,A_23_P502464
A_72_P057671,A_23_P18276
A_72_P057696,A_33_P3319967
A_72_P057696,A_33_P3352382
A_72_P057706,A_32_P203917
A_72_P057841,A_24_P227415
A_72_P057906,A_23_P30435
A_72_P058151,A_23_P259049
A_72_P058356,A_23_P74278
A_72_P058681,A_32_P234827
A_72_P058701,A_24_P36868
A_72_P058701,A_23_P85604
A_72_P058826,A_33_P3261610
A_72_P058826,A_23_P23855
A_72_P058976,A_32_P32739
A_72_P059086,A_23_P3221
A_72_P059181,A_23_P409951
A_72_P059316,A_23_P20002
A_72_P059456,A_23_P10182
A_72_P059561,A_24_P261750
A_72_P059876,A_24_P282762
A_72_P059896,A_23_P203841
A_72_P059941,A_19_P00321509
A_72_P059941,A_33_P3230350
A_72_P059941,A_19_P00317978
A_72_P059941,A_23_P118690
A_72_P060101,A_23_P94296
A_72_P060151,A_24_P72064
A_72_P060151,A_33_P3260733
A_72_P060481,A_33_P3343428
A_72_P061141,A_23_P341325
A_72_P061471,A_24_P377269
A_72_P061641,A_23_P52058
A_72_P061746,A_23_P11664
A_72_P061746,A_33_P3369550
A_72_P061746,A_33_P3293114
A_72_P062841,A_23_P43197
A_72_P063371,A_24_P347488
A_72_P063381,A_24_P288424
A_72_P063391,A_19_P00330048
A_72_P063391,A_23_P360797
A_72_P063531,A_23_P24755
A_72_P063561,A_33_P3265704
A_72_P063561,A_23_P166333
A_72_P063591,A_23_P216966
A_72_P063591,A_24_P64167
A_72_P063671,A_24_P104119
A_72_P064001,A_33_P3211473
A_72_P064166,A_23_P119266
A_72_P064311,A_23_P125680
A_72_P064496,A_24_P347624
A_72_P064496,A_23_P77066
A_72_P064526,A_23_P71908
A_72_P064726,A_23_P149121
A_72_P064936,A_32_P72341
A_72_P064966,A_33_P3314550
A_72_P065001,A_33_P3227990
A_72_P065001,A_23_P208085
A_72_P065001,A_24_P402080
A_72_P065236,A_24_P378019
A_72_P065591,A_23_P71300
A_72_P065891,A_23_P314835
A_72_P066301,A_23_P304287
A_72_P066381,A_24_P763243
A_72_P066381,A_32_P47701
A_72_P067646,A_23_P73493
A_72_P067901,A_24_P538478
A_72_P068786,A_24_P226755
A_72_P068916,A_23_P36865
A_72_P069556,A_24_P56252
A_72_P069556,A_23_P204564
A_72_P069591,A_23_P82929
A_72_P069761,A_24_P247106
A_72_P069761,A_33_P3263061
A_72_P069781,A_23_P154894
A_72_P069881,A_23_P116898
A_72_P069896,A_23_P160742
A_72_P070041,A_23_P150053
A_72_P070146,A_33_P3212092
A_72_P070206,A_33_P3585268
A_72_P070241,A_23_P204847
A_72_P070401,A_23_P107735
A_72_P070786,A_33_P3270019
A_72_P070786,A_23_P428999
A_72_P070921,A_33_P3327270
A_72_P070921,A_32_P123088
A_72_P071061,A_23_P25204
A_72_P071061,A_33_P3420496
A_72_P071341,A_33_P3210488
A_72_P071346,A_32_P175739
A_72_P071376,A_23_P105973
A_72_P071811,A_23_P84070
A_72_P071811,A_24_P332230
A_72_P071821,A_19_P00806976
A_72_P071846,A_33_P3231297
A_72_P071866,A_23_P10442
A_72_P071866,A_33_P3308534
A_72_P071971,A_23_P380815
A_72_P072026,A_23_P211504
A_72_P072071,A_33_P3269728
A_72_P072071,A_23_P205046
A_72_P072091,A_23_P38041
A_72_P072276,A_33_P3349334
A_72_P072341,A_24_P270769
A_72_P072366,A_33_P3290945
A_72_P072366,A_33_P3272808
A_72_P072371,A_33_P3345623
A_72_P072371,A_33_P3220728
A_72_P072506,A_23_P62647
A_72_P072506,A_33_P3352827
A_72_P072591,A_33_P3215078
A_72_P072626,A_23_P102242
A_72_P072746,A_23_P17880
A_72_P073041,A_23_P213620
A_72_P073041,A_33_P3369991
A_72_P073101,A_33_P3306146
A_72_P073101,A_23_P24104
A_72_P073181,A_24_P27412
A_72_P073241,A_23_P69988
A_72_P073301,A_23_P160546
A_72_P073316,A_23_P160240
A_72_P073341,A_23_P123071
A_72_P073341,A_19_P00321370
A_72_P073341,A_24_P925040
A_72_P073361,A_32_P95739
A_72_P073421,A_23_P166459
A_72_P073506,A_23_P109928
A_72_P073556,A_23_P142688
A_72_P073556,A_24_P928217
A_72_P073726,A_24_P298420
A_72_P073726,A_23_P76851
A_72_P073831,A_23_P131866
A_72_P073866,A_23_P209740
A_72_P073921,A_23_P37191
A_72_P073931,A_23_P155376
A_72_P073931,A_33_P3422479
A_72_P074751,A_24_P721898
A_72_P074751,A_24_P210513
A_72_P074751,A_33_P3416448
A_72_P074751,A_23_P88184
A_72_P074991,A_23_P39790
A_72_P074996,A_23_P128503
A_72_P075011,A_24_P150023
A_72_P075016,A_23_P692
A_72_P075016,A_32_P58407
A_72_P075026,A_23_P126278
A_72_P075026,A_33_P3388501
A_72_P075056,A_33_P3274501
A_72_P075056,A_32_P158966
A_72_P075311,A_23_P160689
A_72_P075451,A_33_P3356070
A_72_P075451,A_32_P52609
A_72_P075751,A_33_P3409337
A_72_P075751,A_23_P76983
A_72_P076711,A_23_P106158
A_72_P076786,A_23_P138541
A_72_P076786,A_23_P257971
A_72_P076786,A_24_P152968
A_72_P076786,A_33_P3403708
A_72_P076786,A_19_P00805982
A_72_P076811,A_23_P137865
A_72_P076816,A_33_P3219870
A_72_P076816,A_23_P10077
